"ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"1362";"http://makersupplies.dk/img/p/0.jpg";"m2x8 self tapping cap head (10pcs)";"";"Voron Printers";"18.000000";"22.5";"0";"0";
"1371";"http://makersupplies.dk/img/p/0.jpg";"Ø5x60mm shaft";"";"Voron Printers";"15.000000";"18.75";"0";"0";
"1393";"http://makersupplies.dk/img/p/0.jpg";"Original E3D V6 Silicone Sock";"675";"E3D Spare Parts";"23.960000";"29.95";"0";"0";
"352";"http://makersupplies.dk/img/p/0.jpg";"M5 Tapping - one";"352";"V-Slot Profiles";"7.800000";"9.75";"8965";"1";
"330";"http://makersupplies.dk/img/p/0.jpg";"Economical Small 4 Axis PoKeys Bundle - 0.9Nm";"330";" Bundles - Controller, Steppers and Driver";"0.000000";"0";"0";"0";
"1369";"http://makersupplies.dk/img/p/0.jpg";"M5x40 SHCS (10 pcs)";"";"Voron Printers";"40.000000";"50";"0";"0";
"1391";"http://makersupplies.dk/img/p/0.jpg";"Tramming shims Ø5 or Ø8 - 10 pack";"";"Shims & Spacers";"24.000000";"30";"31";"0";
"990";"http://makersupplies.dk/img/p/0.jpg";"";"990";"";"804.000000";"1005";"";"0";
"1027";"http://makersupplies.dk/img/p/0.jpg";"Solid Flat Profile";"1027";"Tube";"0.000000";"0";"0";"0";
"1363";"http://makersupplies.dk/img/p/0.jpg";"m2x10 self tapping cap head (10pcs)";"";"Voron Printers";"18.000000";"22.5";"0";"0";
"1367";"http://makersupplies.dk/img/p/0.jpg";"M3x20 SHCS (10pcs)";"";"Voron Printers";"10.000000";"12.5";"0";"0";
"1370";"http://makersupplies.dk/img/p/0.jpg";"Ø5x30mm shaft";"";"Voron Printers";"15.000000";"18.75";"0";"0";
"1364";"http://makersupplies.dk/img/p/0.jpg";"BMG extruder kit for Voron";"";"Voron Printers";"300.000000";"375";"0";"0";
"1368";"http://makersupplies.dk/img/p/0.jpg";"M3x40 SHCS (10 pcs)";"";"Voron Printers";"18.000000";"22.5";"0";"0";
"1143";"http://makersupplies.dk/img/p/6/9/5/7/6957.jpg";"OpenBuilds Enclosure 55 - Black";"";"Machine Enclosures";"1826.200000";"2282.75";"13";"1";
"170";"http://makersupplies.dk/img/p/7/7/3/773.jpg";"Makerlink - 2 Way Tee Nut (2 Pack)";"170";"Makerlink";"19.800000";"24.75";"13";"1";
"484";"http://makersupplies.dk/img/p/3/9/2/8/3928.jpg";"Natural - PLA 1.75 - Devil Design ";"484";"PLA - 1.75mm";"124.000000";"155";"8";"1";
"607";"http://makersupplies.dk/img/p/4/1/6/0/4160.jpg";"Black - HIPS 1.75 - Devil Design";"607";"HIPS - 1.75mm";"124.000000";"155";"8";"1";
"951";"http://makersupplies.dk/img/p/6/0/9/9/6099.jpg";"Prusa Double-sided Textured PEI Powder-coated Spring Steel Sheet";"951";"Prusa";"375.800000";"469.75";"0";"1";
"75";"http://makersupplies.dk/img/p/8/1/2/8/8128.jpg";"GT2 pulley 20";"75";"GT2 Belts and Pulleys";"36.000000";"45";"64";"1";
"417";"http://makersupplies.dk/img/p/3/7/0/0/3700.jpg";"Zinc Alloy Hinge - black or silver";"417";"Brackets";"18.000000";"22.5";"173";"1";
